version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,Zimbabwe
info,gender,male
info,season,2021
info,date,2021/05/07
info,date,2021/05/08
info,date,2021/05/09
info,date,2021/05/10
info,event,Pakistan tour of Zimbabwe
info,match_number,2
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Abid Ali
info,umpire,L Rusere
info,umpire,M Erasmus
info,reserve_umpire,F Mutizwa
info,tv_umpire,I Chabi
info,match_referee,AJ Pycroft
info,winner,Pakistan
info,winner_innings,1
info,winner_runs,147
info,player,Pakistan,Imran Butt (2)
info,player,Pakistan,Abid Ali
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Babar Azam
info,player,Pakistan,Fawad Alam
info,player,Pakistan,Sajid Khan
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Hasan Ali
info,player,Pakistan,Nauman Ali
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Tabish Khan
info,player,Zimbabwe,KT Kasuza
info,player,Zimbabwe,TK Musakanda
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,BRM Taylor
info,player,Zimbabwe,M Shumba
info,player,Zimbabwe,TS Chisoro
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,DT Tiripano
info,player,Zimbabwe,R Kaia
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,B Muzarabani
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Abid Ali,5d836a72
info,registry,people,Azhar Ali,211de69f
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BRM Taylor,53597be1
info,registry,people,Babar Azam,8a75e999
info,registry,people,DT Tiripano,dbfb8218
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,Fawad Alam,61f05b05
info,registry,people,Hasan Ali,2911de16
info,registry,people,I Chabi,5e39110e
info,registry,people,Imran Butt (2),72683b68
info,registry,people,KT Kasuza,8f93efd3
info,registry,people,L Rusere,6a4734ae
info,registry,people,LM Jongwe,b8704508
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Shumba,6766ca00
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Nauman Ali,54c58a5e
info,registry,people,R Kaia,e3dd0d8e
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,Sajid Khan,bbc192a4
info,registry,people,Saud Shakeel,d07c1b2f
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TK Musakanda,9f9b903e
info,registry,people,TS Chisoro,4b2d6789
info,registry,people,Tabish Khan,f09fc8fb
