version,2.1.0
info,balls_per_over,6
info,team,Australia
info,team,India
info,gender,male
info,season,2011/12
info,date,2012/01/03
info,date,2012/01/04
info,date,2012/01/05
info,date,2012/01/06
info,event,Border-Gavaskar Trophy
info,match_number,2
info,venue,Sydney Cricket Ground
info,city,
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,MJ Clarke
info,umpire,M Erasmus
info,umpire,IJ Gould
info,reserve_umpire,GA Abood
info,tv_umpire,BNJ Oxenford
info,match_referee,RS Madugalle
info,winner,Australia
info,winner_innings,1
info,winner_runs,68
info,player,Australia,DA Warner
info,player,Australia,EJM Cowan
info,player,Australia,SE Marsh
info,player,Australia,RT Ponting
info,player,Australia,MJ Clarke
info,player,Australia,MEK Hussey
info,player,Australia,BJ Haddin
info,player,Australia,PM Siddle
info,player,Australia,JL Pattinson
info,player,Australia,BW Hilfenhaus
info,player,Australia,NM Lyon
info,player,India,G Gambhir
info,player,India,V Sehwag
info,player,India,R Dravid
info,player,India,SR Tendulkar
info,player,India,VVS Laxman
info,player,India,V Kohli
info,player,India,MS Dhoni
info,player,India,R Ashwin
info,player,India,Z Khan
info,player,India,I Sharma
info,player,India,UT Yadav
info,registry,people,BJ Haddin,b0c772ee
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,BW Hilfenhaus,f3171936
info,registry,people,DA Warner,dcce6f09
info,registry,people,EJM Cowan,fee3c48a
info,registry,people,G Gambhir,bb345e0b
info,registry,people,GA Abood,a4af5528
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,IJ Gould,a9dfdf6c
info,registry,people,JL Pattinson,f752db61
info,registry,people,M Erasmus,15d3c895
info,registry,people,MEK Hussey,48fd7349
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,PM Siddle,bd93fea4
info,registry,people,R Ashwin,495d42a5
info,registry,people,R Dravid,0184dc35
info,registry,people,RS Madugalle,766b5798
info,registry,people,RT Ponting,7d415ea5
info,registry,people,SE Marsh,508a1ea7
info,registry,people,SR Tendulkar,d2c2b2d5
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Kohli,ba607b88
info,registry,people,V Sehwag,8ba8195d
info,registry,people,VVS Laxman,de8cce37
info,registry,people,Z Khan,91a4a398
