version,2.1.0
info,balls_per_over,6
info,team,India
info,team,Australia
info,gender,male
info,season,2018/19
info,date,2018/12/06
info,date,2018/12/07
info,date,2018/12/08
info,date,2018/12/09
info,date,2018/12/10
info,event,India tour of Australia
info,match_number,1
info,venue,Adelaide Oval
info,city,
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,CA Pujara
info,umpire,HDPK Dharmasena
info,umpire,NJ Llong
info,reserve_umpire,GA Abood
info,tv_umpire,CB Gaffaney
info,match_referee,RS Madugalle
info,winner,India
info,winner_runs,31
info,player,India,KL Rahul
info,player,India,M Vijay
info,player,India,CA Pujara
info,player,India,V Kohli
info,player,India,AM Rahane
info,player,India,RG Sharma
info,player,India,RR Pant
info,player,India,R Ashwin
info,player,India,I Sharma
info,player,India,Mohammed Shami
info,player,India,JJ Bumrah
info,player,Australia,AJ Finch
info,player,Australia,MS Harris
info,player,Australia,UT Khawaja
info,player,Australia,SE Marsh
info,player,Australia,PSP Handscomb
info,player,Australia,TM Head
info,player,Australia,TD Paine
info,player,Australia,PJ Cummins
info,player,Australia,MA Starc
info,player,Australia,NM Lyon
info,player,Australia,JR Hazlewood
info,registry,people,AJ Finch,b8d490fd
info,registry,people,AM Rahane,29e95537
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,GA Abood,a4af5528
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KL Rahul,b17e2f24
info,registry,people,M Vijay,4b57e452
info,registry,people,MA Starc,3fb19989
info,registry,people,MS Harris,9e85455c
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,NJ Llong,573fb985
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,PJ Cummins,ded9240e
info,registry,people,PSP Handscomb,ada15e88
info,registry,people,R Ashwin,495d42a5
info,registry,people,RG Sharma,740742ef
info,registry,people,RR Pant,919a3be2
info,registry,people,RS Madugalle,766b5798
info,registry,people,SE Marsh,508a1ea7
info,registry,people,TD Paine,5748e866
info,registry,people,TM Head,12b610c2
info,registry,people,UT Khawaja,331ea488
info,registry,people,V Kohli,ba607b88
