version,2.1.0
info,balls_per_over,6
info,team,Australia
info,team,Pakistan
info,gender,male
info,season,2014/15
info,date,2014/10/30
info,date,2014/10/31
info,date,2014/11/01
info,date,2014/11/02
info,date,2014/11/03
info,event,Pakistan v Australia Test Series
info,match_number,2
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Misbah-ul-Haq
info,umpire,RA Kettleborough
info,umpire,NJ Llong
info,reserve_umpire,Ahsan Raza
info,tv_umpire,M Erasmus
info,match_referee,RS Madugalle
info,winner,Pakistan
info,winner_runs,356
info,player,Australia,DA Warner
info,player,Australia,CJL Rogers
info,player,Australia,NM Lyon
info,player,Australia,GJ Maxwell
info,player,Australia,MJ Clarke
info,player,Australia,SPD Smith
info,player,Australia,MR Marsh
info,player,Australia,BJ Haddin
info,player,Australia,MG Johnson
info,player,Australia,PM Siddle
info,player,Australia,MA Starc
info,player,Pakistan,Ahmed Shehzad
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Younis Khan
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Yasir Shah
info,player,Pakistan,Zulfiqar Babar
info,player,Pakistan,Rahat Ali
info,player,Pakistan,Imran Khan (2)
info,registry,people,Ahmed Shehzad,f8fd6e3f
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,BJ Haddin,b0c772ee
info,registry,people,CJL Rogers,d8360178
info,registry,people,DA Warner,dcce6f09
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,Imran Khan (2),2b0f2af3
info,registry,people,M Erasmus,15d3c895
info,registry,people,MA Starc,3fb19989
info,registry,people,MG Johnson,f5180fe6
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,NJ Llong,573fb985
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,PM Siddle,bd93fea4
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RS Madugalle,766b5798
info,registry,people,Rahat Ali,a63775d6
info,registry,people,SPD Smith,30a45b23
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,Yasir Shah,f2800ef3
info,registry,people,Younis Khan,33cb3411
info,registry,people,Zulfiqar Babar,3a0f6df2
