version,2.1.0
info,balls_per_over,6
info,team,West Indies
info,team,New Zealand
info,gender,male
info,season,2014
info,date,2014/06/16
info,date,2014/06/17
info,date,2014/06/18
info,date,2014/06/19
info,date,2014/06/20
info,event,New Zealand in West Indies Test Series
info,match_number,2
info,venue,"Queen's Park Oval, Port of Spain"
info,city,Trinidad
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,KC Brathwaite
info,umpire,IJ Gould
info,umpire,RJ Tucker
info,reserve_umpire,PJ Nero
info,tv_umpire,RK Illingworth
info,match_referee,BC Broad
info,winner,West Indies
info,winner_wickets,10
info,player,New Zealand,TWM Latham
info,player,New Zealand,HD Rutherford
info,player,New Zealand,KS Williamson
info,player,New Zealand,LRPL Taylor
info,player,New Zealand,BB McCullum
info,player,New Zealand,JDS Neesham
info,player,New Zealand,BJ Watling
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TG Southee
info,player,New Zealand,MD Craig
info,player,New Zealand,TA Boult
info,player,West Indies,CH Gayle
info,player,West Indies,KC Brathwaite
info,player,West Indies,SJ Benn
info,player,West Indies,KA Edwards
info,player,West Indies,DM Bravo
info,player,West Indies,S Chanderpaul
info,player,West Indies,KAJ Roach
info,player,West Indies,J Blackwood
info,player,West Indies,D Ramdin
info,player,West Indies,JE Taylor
info,player,West Indies,ST Gabriel
info,registry,people,BB McCullum,b8a55852
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BJ Watling,928670cc
info,registry,people,CH Gayle,db584dad
info,registry,people,D Ramdin,d1523761
info,registry,people,DM Bravo,14b14cd8
info,registry,people,HD Rutherford,0605de92
info,registry,people,IJ Gould,a9dfdf6c
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,J Blackwood,c3b93a03
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JE Taylor,4180d897
info,registry,people,JO Holder,0f721006
info,registry,people,KA Edwards,d06335fd
info,registry,people,KAJ Roach,78eb4223
info,registry,people,KC Brathwaite,7d5af2ea
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,MD Craig,c8574282
info,registry,people,PJ Nero,925d2e93
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RK Illingworth,20672246
info,registry,people,S Chanderpaul,881a9bdd
info,registry,people,SJ Benn,364ee2cf
info,registry,people,ST Gabriel,d9609443
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
info,registry,people,TWM Latham,e824e6ee
