version,2.1.0
info,balls_per_over,6
info,team,Pakistan
info,team,Australia
info,gender,male
info,season,2018/19
info,date,2018/10/16
info,date,2018/10/17
info,date,2018/10/18
info,date,2018/10/19
info,event,Australia tour of United Arab Emirates
info,match_number,2
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Mohammad Abbas
info,umpire,RK Illingworth
info,umpire,S Ravi
info,reserve_umpire,Ahsan Raza
info,tv_umpire,RA Kettleborough
info,match_referee,RS Madugalle
info,winner,Pakistan
info,winner_runs,373
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Azhar Ali
info,player,Pakistan,Haris Sohail
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Babar Azam
info,player,Pakistan,Sarfraz Ahmed
info,player,Pakistan,Bilal Asif
info,player,Pakistan,Yasir Shah
info,player,Pakistan,Mohammad Abbas
info,player,Pakistan,Mir Hamza
info,player,Australia,AJ Finch
info,player,Australia,SE Marsh
info,player,Australia,TM Head
info,player,Australia,MR Marsh
info,player,Australia,M Labuschagne
info,player,Australia,TD Paine
info,player,Australia,MA Starc
info,player,Australia,PM Siddle
info,player,Australia,NM Lyon
info,player,Australia,JM Holland
info,player,Australia,UT Khawaja
info,registry,people,AC Agar,a2421394
info,registry,people,AJ Finch,b8d490fd
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Asad Shafiq,50250426
info,registry,people,Azhar Ali,211de69f
info,registry,people,Babar Azam,8a75e999
info,registry,people,Bilal Asif,f3be8d36
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,Haris Sohail,7cd0a092
info,registry,people,JM Holland,70c4f525
info,registry,people,M Labuschagne,fa433be6
info,registry,people,MA Starc,3fb19989
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,Mir Hamza,cb1a782a
info,registry,people,Mohammad Abbas,a089f93f
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,PM Siddle,bd93fea4
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RK Illingworth,20672246
info,registry,people,RS Madugalle,766b5798
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SE Marsh,508a1ea7
info,registry,people,Sarfraz Ahmed,2254ab79
info,registry,people,TD Paine,5748e866
info,registry,people,TM Head,12b610c2
info,registry,people,UT Khawaja,331ea488
info,registry,people,Yasir Shah,f2800ef3
